metric,value,end_time
page_follows,0,
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,0,
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,0,
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,0,
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
page_follows,2,2024-10-15T07:00:00+0000
page_follows,2,2024-10-16T07:00:00+0000
